director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary,overview
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,Superman Returns,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest to felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel."
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,Quantum of Solace,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined."
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,The Lone Ranger,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice."
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,Man of Steel,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind."
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,The Chronicles of Narnia: Prince Caspian,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir."
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,Pirates of the Caribbean: On Stranger Tides,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past."
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,Men in Black 3,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi,"Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind."
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: The Battle of the Five Armies,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands."
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,The Amazing Spider-Man,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero."
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,Robin Hood,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey."
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: The Desolation of Smaug,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug."
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,The Golden Compass,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny."
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,Titanic,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912."
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,Captain America: Civil War,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies."
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,Battleship,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential that his brother, and his fiancée's father—an Admiral—expect of him."
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,Jurassic World,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond."
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,The Amazing Spider-Man 2,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past."
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,Iron Man 3,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,X-Men: The Last Stand,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller,"When a cure is found to treat mutations, lines are drawn amongst the X-Men—led by Professor Charles Xavier—and the Brotherhood, a band of powerful mutants organised under Xavier's former ally, Magneto."
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,Monsters University,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,Transformers: Revenge of the Fallen,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war."
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,Transformers: Age of Extinction,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs."
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,The Amazing Spider-Man 2,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-Fi,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past."
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,Cars 2,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family Sport,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,Green Lantern,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-Fi,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited."
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,Toy Story 3,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family Fantasy,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy."
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,Terminator Salvation,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-Fi,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe."
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,Furious 7,Jason Statham Paul Walker Vin Diesel James Wan Action Crime Thriller,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,World War Z,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi Thriller,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls."
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,X-Men: Days of Future Past,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi Thriller,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,Star Trek Into Darkness,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-Fi,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew."
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,Jack the Giant Slayer,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure Fantasy,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself."
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,Prince of Persia: The Sands of Time,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy Romance,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world."
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,Pacific Rim,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-Fi,"A ragtag band of humans band together in the year 2025 to fight legions of monstrous creatures rising from the sea. Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes -- a washed up former pilot and an untested trainee -- who now stand as earth's final hope against the mounting apocalypse."
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,Transformers: Dark of the Moon,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-Fi,"The Autobots continue to work for NEST, now no longer in secret. But after discovering a strange artifact during a mission in Chernobyl, it becomes apparent to Optimus Prime that the United States government has been less than forthright with them."
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure Fantasy,"Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts."
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,The Good Dinosaur,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,Brave,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family Fantasy,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall."
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,Star Trek Beyond,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi Thriller,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test."
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,WALL·E,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-Fi,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves."
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,Rush Hour 3,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action Comedy Crime Thriller,"After a botched assassination attempt, the mismatched duo finds themselves in Paris, struggling to retrieve a precious list of names, as the murderous crime syndicate's henchmen try their best to stop them. Once more, Lee and Carter must fight their way through dangerous gangsters; however, this time, the past has come back to haunt Lee. Will the boys get the job done once and for all?"
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-Fi,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world."
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,A Christmas Carol,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family Fantasy,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption."
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,Jupiter Ascending,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-Fi,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…"
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family Fantasy,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever."
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,X-Men: Apocalypse,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-Fi,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,The Dark Knight,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama Thriller,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,Up,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy Family,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life."
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,Monsters vs Aliens,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters..."
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,Iron Man,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,Hugo,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery,"Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home."
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,Wild Wild West,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.
